sampling,trigger,estimator,target,exact_bias,exact_variance,monte_carlo_bias,rmse,trials
uniform,0.01,ht,3.1,0.0,1018.9499999999999,1.0159999999999996,37.08340329581415,1000
uniform,0.01,unweighted,3.1,0.0,1018.9499999999999,1.0159999999999996,37.08340329581415,1000
uniform,0.01,clip10,3.1,-3.0225,0.63684375,-2.9971,3.1371085413163504,1000
uniform,0.01,clip50,3.1,-2.7125,15.921093749999999,-2.5855,5.30620862763612,1000
uniform,0.01,clip100,3.1,-2.325,63.684374999999996,-2.071,9.49595703444366,1000
uniform,0.05,ht,3.1,0.0,196.102,0.22399999999999975,14.140220648914925,1000
uniform,0.05,unweighted,3.1,0.0,196.102,0.22399999999999975,14.140220648914925,1000
uniform,0.05,clip10,3.1,-2.7125,3.06409375,-2.6845,3.2140177348608394,1000
uniform,0.05,clip50,3.1,-1.1625,76.60234375,-1.0225,8.895490430549629,1000
uniform,0.05,clip100,3.1,0.0,196.102,0.22399999999999975,14.140220648914925,1000
uniform,0.2,ht,3.1,0.0,41.818000000000005,-0.32840000000000025,6.264062579508605,1000
uniform,0.2,unweighted,3.1,0.0,41.818000000000005,-0.32840000000000025,6.264062579508605,1000
uniform,0.2,clip10,3.1,-1.55,10.454500000000001,-1.7142000000000002,3.5666707165086047,1000
uniform,0.2,clip50,3.1,0.0,41.818000000000005,-0.32840000000000025,6.264062579508605,1000
uniform,0.2,clip100,3.1,0.0,41.818000000000005,-0.32840000000000025,6.264062579508605,1000
uniform,1,ht,3.1,0.0,0.6755999999999993,0.03064,0.821793161324673,1000
uniform,1,unweighted,3.1,0.0,0.6755999999999993,0.03064,0.821793161324673,1000
uniform,1,clip10,3.1,0.0,0.6755999999999993,0.03064,0.821793161324673,1000
uniform,1,clip50,3.1,0.0,0.6755999999999993,0.03064,0.821793161324673,1000
uniform,1,clip100,3.1,0.0,0.6755999999999993,0.03064,0.821793161324673,1000
nonuniform,0.01,ht,3.1,0.0,1961.2962499999999,-1.118125,22.577317502861142,1000
nonuniform,0.01,unweighted,3.1,0.15333333333333332,1122.4291555555556,-0.2520000000000002,31.08723853931063,1000
nonuniform,0.01,clip10,3.1,-3.018666666666667,0.7015182222222222,-3.0288,3.126915412990892,1000
nonuniform,0.01,clip50,3.1,-2.6933333333333334,17.537955555555556,-2.744,4.756973827970888,1000
nonuniform,0.01,clip100,3.1,-2.2866666666666666,70.15182222222222,-2.388,8.130166049964785,1000
nonuniform,0.05,ht,3.1,0.0,384.57125,-0.7146250000000003,15.844529911770811,1000
nonuniform,0.05,unweighted,3.1,0.15333333333333332,216.01848888888892,-0.23119999999999985,13.876671070541379,1000
nonuniform,0.05,clip10,3.1,-2.6933333333333334,3.3752888888888894,-2.7414,3.243951294332269,1000
nonuniform,0.05,clip50,3.1,-1.3966666666666667,57.029072222222226,-1.6163750000000001,7.212864592171408,1000
nonuniform,0.05,clip100,3.1,-0.8533333333333335,109.24040555555557,-1.226625,9.289108037104532,1000
nonuniform,0.2,ht,3.1,0.0,88.93531250000001,0.40596875,10.649988107020942,1000
nonuniform,0.2,unweighted,3.1,0.15333333333333332,46.0664888888889,0.5070000000000001,7.167052392720455,1000
nonuniform,0.2,clip10,3.1,-1.5393333333333334,10.461023722222222,-1.37260625,3.6701983246396237,1000
nonuniform,0.2,clip50,3.1,-0.31999999999999984,52.4169125,-0.05003124999999997,7.844070797722793,1000
nonuniform,0.2,clip100,3.1,0.0,88.93531250000001,0.40596875,10.649988107020942,1000
nonuniform,1,ht,3.1,0.0,10.099062499999993,-0.06347499999999995,3.043975376666178,1000
nonuniform,1,unweighted,3.1,0.15333333333333332,0.7459555555555539,0.12687999999999988,0.8782619199304954,1000
nonuniform,1,clip10,3.1,-0.3200000000000003,4.300662500000001,-0.3514750000000002,2.034548130113908,1000
nonuniform,1,clip50,3.1,0.0,10.099062499999993,-0.06347499999999995,3.043975376666178,1000
nonuniform,1,clip100,3.1,0.0,10.099062499999993,-0.06347499999999995,3.043975376666178,1000
