mechanism,p,threshold,bonus,audit_pi,side_interest,strategy,report,expected_payoff,deviation_gain,audit_score_variance
separated_audit,0.1,0.3,0,0.05,0.25,inflated,0.25,0.8875,-0.022499999999999964,15.41546875
separated_audit,0.1,0.3,0,0.05,0.25,deflated,0,0.9,-0.009999999999999898,17.19
separated_audit,0.1,0.3,0,0.05,0.25,threshold,0.3,1.12,0.2100000000000002,14.669100000000002
separated_audit,0.1,0.3,0,0.05,0.25,best_grid,0.3,1.12,0.2100000000000002,14.669100000000002
coupled_winner,0.1,0.3,0,0.05,1,truthful,0.1,0.0,0.0,16.8859
coupled_winner,0.1,0.3,0,0.05,1,inflated,0.25,0.0,0.0,15.41546875
coupled_winner,0.1,0.3,0,0.05,1,deflated,0,0.0,0.0,17.19
coupled_winner,0.1,0.3,0,0.05,1,threshold,0.3,0.87,0.87,14.669100000000002
coupled_winner,0.1,0.3,0,0.05,1,best_grid,0.3,0.87,0.87,14.669100000000002
coupled_audit,0.1,0.3,0,0.05,1,truthful,0.1,0.9099999999999999,0.0,16.8859
coupled_audit,0.1,0.3,0,0.05,1,inflated,0.25,0.8875,-0.022499999999999964,15.41546875
coupled_audit,0.1,0.3,0,0.05,1,deflated,0,0.9,-0.009999999999999898,17.19
coupled_audit,0.1,0.3,0,0.05,1,threshold,0.3,0.87,-0.039999999999999925,14.669100000000002
coupled_audit,0.1,0.3,0,0.05,1,best_grid,0.1,0.9099999999999999,0.0,16.8859
separated_audit,0.1,0.3,0,0.05,1,truthful,0.1,0.9099999999999999,0.0,16.8859
separated_audit,0.1,0.3,0,0.05,1,inflated,0.25,0.8875,-0.022499999999999964,15.41546875
separated_audit,0.1,0.3,0,0.05,1,deflated,0,0.9,-0.009999999999999898,17.19
separated_audit,0.1,0.3,0,0.05,1,threshold,0.3,1.87,0.9600000000000002,14.669100000000002
separated_audit,0.1,0.3,0,0.05,1,best_grid,0.3,1.87,0.9600000000000002,14.669100000000002
coupled_winner,0.1,0.3,0,0.05,4,truthful,0.1,0.0,0.0,16.8859
coupled_winner,0.1,0.3,0,0.05,4,inflated,0.25,0.0,0.0,15.41546875
coupled_winner,0.1,0.3,0,0.05,4,deflated,0,0.0,0.0,17.19
coupled_winner,0.1,0.3,0,0.05,4,threshold,0.3,0.87,0.87,14.669100000000002
coupled_winner,0.1,0.3,0,0.05,4,best_grid,0.3,0.87,0.87,14.669100000000002
coupled_audit,0.1,0.3,0,0.05,4,truthful,0.1,0.9099999999999999,0.0,16.8859
coupled_audit,0.1,0.3,0,0.05,4,inflated,0.25,0.8875,-0.022499999999999964,15.41546875
coupled_audit,0.1,0.3,0,0.05,4,deflated,0,0.9,-0.009999999999999898,17.19
coupled_audit,0.1,0.3,0,0.05,4,threshold,0.3,0.87,-0.039999999999999925,14.669100000000002
coupled_audit,0.1,0.3,0,0.05,4,best_grid,0.1,0.9099999999999999,0.0,16.8859
separated_audit,0.1,0.3,0,0.05,4,truthful,0.1,0.9099999999999999,0.0,16.8859
separated_audit,0.1,0.3,0,0.05,4,inflated,0.25,0.8875,-0.022499999999999964,15.41546875
separated_audit,0.1,0.3,0,0.05,4,deflated,0,0.9,-0.009999999999999898,17.19
separated_audit,0.1,0.3,0,0.05,4,threshold,0.3,4.87,3.96,14.669100000000002
separated_audit,0.1,0.3,0,0.05,4,best_grid,0.3,4.87,3.96,14.669100000000002
coupled_winner,0.1,0.3,0,0.2,0,truthful,0.1,0.0,0.0,3.6003999999999996
coupled_winner,0.1,0.3,0,0.2,0,inflated,0.25,0.0,0.0,3.263125
coupled_winner,0.1,0.3,0,0.2,0,deflated,0,0.0,0.0,3.69
coupled_winner,0.1,0.3,0,0.2,0,threshold,0.3,0.87,0.87,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,0,best_grid,0.3,0.87,0.87,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,0,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
coupled_audit,0.1,0.3,0,0.2,0,inflated,0.25,0.8875,-0.022499999999999964,3.263125
coupled_audit,0.1,0.3,0,0.2,0,deflated,0,0.9,-0.009999999999999898,3.69
coupled_audit,0.1,0.3,0,0.2,0,threshold,0.3,0.87,-0.039999999999999925,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,0,best_grid,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,0,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,0,inflated,0.25,0.8875,-0.022499999999999964,3.263125
separated_audit,0.1,0.3,0,0.2,0,deflated,0,0.9,-0.009999999999999898,3.69
separated_audit,0.1,0.3,0,0.2,0,threshold,0.3,0.87,-0.039999999999999925,3.0996000000000006
separated_audit,0.1,0.3,0,0.2,0,best_grid,0.1,0.9099999999999999,0.0,3.6003999999999996
coupled_winner,0.1,0.3,0,0.2,0.25,truthful,0.1,0.0,0.0,3.6003999999999996
coupled_winner,0.1,0.3,0,0.2,0.25,inflated,0.25,0.0,0.0,3.263125
coupled_winner,0.1,0.3,0,0.2,0.25,deflated,0,0.0,0.0,3.69
coupled_winner,0.1,0.3,0,0.2,0.25,threshold,0.3,0.87,0.87,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,0.25,best_grid,0.3,0.87,0.87,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,0.25,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
coupled_audit,0.1,0.3,0,0.2,0.25,inflated,0.25,0.8875,-0.022499999999999964,3.263125
coupled_audit,0.1,0.3,0,0.2,0.25,deflated,0,0.9,-0.009999999999999898,3.69
coupled_audit,0.1,0.3,0,0.2,0.25,threshold,0.3,0.87,-0.039999999999999925,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,0.25,best_grid,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,0.25,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,0.25,inflated,0.25,0.8875,-0.022499999999999964,3.263125
separated_audit,0.1,0.3,0,0.2,0.25,deflated,0,0.9,-0.009999999999999898,3.69
separated_audit,0.1,0.3,0,0.2,0.25,threshold,0.3,1.12,0.2100000000000002,3.0996000000000006
separated_audit,0.1,0.3,0,0.2,0.25,best_grid,0.3,1.12,0.2100000000000002,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,1,truthful,0.1,0.0,0.0,3.6003999999999996
coupled_winner,0.1,0.3,0,0.2,1,inflated,0.25,0.0,0.0,3.263125
coupled_winner,0.1,0.3,0,0.2,1,deflated,0,0.0,0.0,3.69
coupled_winner,0.1,0.3,0,0.2,1,threshold,0.3,0.87,0.87,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,1,best_grid,0.3,0.87,0.87,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,1,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
coupled_audit,0.1,0.3,0,0.2,1,inflated,0.25,0.8875,-0.022499999999999964,3.263125
coupled_audit,0.1,0.3,0,0.2,1,deflated,0,0.9,-0.009999999999999898,3.69
coupled_audit,0.1,0.3,0,0.2,1,threshold,0.3,0.87,-0.039999999999999925,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,1,best_grid,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,1,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
separated_audit,0.1,0.3,0,0.2,1,inflated,0.25,0.8875,-0.022499999999999964,3.263125
separated_audit,0.1,0.3,0,0.2,1,deflated,0,0.9,-0.009999999999999898,3.69
separated_audit,0.1,0.3,0,0.2,1,threshold,0.3,1.87,0.9600000000000002,3.0996000000000006
separated_audit,0.1,0.3,0,0.2,1,best_grid,0.3,1.87,0.9600000000000002,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,4,truthful,0.1,0.0,0.0,3.6003999999999996
coupled_winner,0.1,0.3,0,0.2,4,inflated,0.25,0.0,0.0,3.263125
coupled_winner,0.1,0.3,0,0.2,4,deflated,0,0.0,0.0,3.69
coupled_winner,0.1,0.3,0,0.2,4,threshold,0.3,0.87,0.87,3.0996000000000006
coupled_winner,0.1,0.3,0,0.2,4,best_grid,0.3,0.87,0.87,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,4,truthful,0.1,0.9099999999999999,0.0,3.6003999999999996
coupled_audit,0.1,0.3,0,0.2,4,inflated,0.25,0.8875,-0.022499999999999964,3.263125
coupled_audit,0.1,0.3,0,0.2,4,deflated,0,0.9,-0.009999999999999898,3.69
coupled_audit,0.1,0.3,0,0.2,4,threshold,0.3,0.87,-0.039999999999999925,3.0996000000000006
coupled_audit,0.1,0.3,0,0.2,4,best_grid,0.1,0.9099999999999999,0.0,3.6003999999999996
