worker,decodes,accuracy,mean_cost,incomplete
openai_small,300,0.37666666666666665,0.001021056,0
anthropic_small,300,0.3933333333333333,0.0030349333333333332,0
openai_large,300,0.4633333333333333,0.0035040266666666662,0
anthropic_large,300,0.6566666666666666,0.009902766666666667,6
