predictor,brier,task_ci_low,task_ci_high,independent_tasks,forecast_cost_included_in_routing
historical,0.24610763888888887,0.22955208333333332,0.2628020833333333,150,True
contextual_historical,0.24859375,0.23126770833333335,0.26592916666666666,150,True
equal_pool,0.24697558485682375,0.23502688559715296,0.25939385074242044,150,True
forecaster_0,0.24630483333333336,0.23555766666666667,0.25695233333333334,150,True
forecaster_1,0.27588833333333335,0.251436,0.30305066666666663,150,True
forecaster_2,0.24564464482233148,0.2364056463,0.25477686778529446,150,True
