family,predictor,observations_not_independent_tasks,brier,log_loss,calibration_intercept,calibration_slope
HumanEvalPlus,equal_pool,640,0.07240604166666667,0.2798444454153958,0.5514587294747212,1.1031587074233633
HumanEvalPlus,forecaster-0,640,0.07240395000000001,0.2798390568119066,0.5511441853466876,1.1032740374300283
HumanEvalPlus,forecaster-1,640,0.072407125,0.2798471632372779,0.5516169361121486,1.1031000434166167
HumanEvalPlus,forecaster-2,640,0.072407125,0.2798471632372779,0.5516169361121486,1.1031000434166167
MbppPlus,equal_pool,960,0.11234150000000001,0.3684343676614173,-0.6313155585067082,1.2856058128594907
MbppPlus,forecaster-0,960,0.11234150000000001,0.3684343676614173,-0.6313155585067082,1.2856058128594907
MbppPlus,forecaster-1,960,0.11234150000000001,0.3684343676614173,-0.6313155585067082,1.2856058128594907
MbppPlus,forecaster-2,960,0.11234150000000001,0.3684343676614173,-0.6313155585067082,1.2856058128594907
