arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.01|pool=exponential,30,30,0.08012271333333333,0.038518253333333335,0.12205622666666667,0.011543953333333334,0.36666666666666664,0
cheapest|r=0|pool=exponential,30,30,0.09064634666666667,0.04898862666666667,0.13232548,0.0010203200000000001,0.36666666666666664,0
coupled|r=0|pool=exponential,30,30,0.11011316666666666,0.06707932,0.15205211999999999,0.014886833333333334,0.5,0
equal|r=0|pool=exponential,30,30,0.08038358,0.038824446666666665,0.12215394666666667,0.011283086666666668,0.36666666666666664,0
explore|r=0|pool=exponential,30,30,0.10533128666666666,0.06364582666666667,0.14789370666666668,0.0030020466666666667,0.43333333333333335,0
myopic|r=0.01|pool=exponential,30,30,0.08012271333333333,0.038518253333333335,0.12205622666666667,0.011543953333333334,0.36666666666666664,0
premium|r=0|pool=exponential,30,30,0.1484971333333333,0.106243,0.19073406666666667,0.0098362,0.6333333333333333,0
selected|r=0|pool=exponential,30,30,0.08038358,0.038824446666666665,0.12215394666666667,0.011283086666666668,0.36666666666666664,0
static|r=0|pool=exponential,30,30,0.1484971333333333,0.106243,0.19073406666666667,0.0098362,0.6333333333333333,0
