policy,episode,net_value,pseudo_regret,selected_brier
calm_no_audit,5,17.743082950336127,0.05985758686663026,0.10214440264974278
calm_no_audit,15,17.68009091184177,0.05727514442575251,0.10488567641255538
calm_no_audit,25,17.741210838702326,0.059235733918387025,0.10487246859468399
calm_no_audit,35,17.61194337731145,0.053320308357167924,0.10475752430074033
calm_no_audit,45,11.188999430113796,0.6706736461464073,0.1712099680096271
calm_no_audit,55,10.769639198259608,0.5827894180503771,0.17179497860241064
calm_no_audit,65,11.323187606658939,0.5218142827102334,0.16915278695120725
calm_no_audit,75,11.178580675198951,0.465959828461802,0.17201639195474447
calm_s,5,17.553229842111232,0.2687673347941129,0.10204161283871069
calm_s,15,17.472684007010404,0.25507178262317465,0.10507479080579062
calm_s,25,17.527489752394708,0.2676093114109934,0.1050857447927647
calm_s,35,17.449520882185762,0.25263539135312646,0.104371576648433
calm_s,45,11.001903103374934,0.9075139597022926,0.16968741060602635
calm_s,55,10.381844102947367,0.8469901940143725,0.1750268039212075
calm_s,65,11.171153299172245,0.7848068753936533,0.16869105833945652
calm_s,75,10.90189691155564,0.7198225353702161,0.17143424440922658
cheapest,5,4.478241708854913,13.674491864216806,0.23383587520461424
cheapest,15,4.358396508964041,13.750744144054467,0.23806999964368852
cheapest,25,4.210741792618352,13.763805006435023,0.23705665377095098
cheapest,35,4.291317723728714,13.687828808559997,0.23550347850021883
cheapest,45,6.135209070278318,5.061396157401204,0.22753456167529293
cheapest,55,6.478405101582064,5.0631050000182345,0.22666338498413988
cheapest,65,6.410401120000735,5.036537149566238,0.22690066931638478
cheapest,75,6.477277740201775,5.061264301510214,0.22670666449262664
coupled_self_report,5,14.190409755690492,4.507061971165819,0.1740121739473342
coupled_self_report,15,13.109659864634148,4.532227310532634,0.1943378547357692
coupled_self_report,25,13.485132130540814,4.53525469641532,0.18957660532987736
coupled_self_report,35,13.224136977011927,4.510686556110744,0.19267087217580495
coupled_self_report,45,10.492932604146608,1.1762577276275799,0.22935101244080097
coupled_self_report,55,10.82743030597657,1.1625362997390036,0.22102852514591495
coupled_self_report,65,10.316751276972731,1.158535040976204,0.2303624267369489
coupled_self_report,75,10.712854297129406,1.1679602346684983,0.22229426779229053
equal_pool,5,17.740304617002792,0.060630066290188224,0.10229750956782145
equal_pool,15,17.6664486015765,0.0564515545462366,0.10506722979093229
equal_pool,25,17.75908683499871,0.05814105395512598,0.10458380048486753
equal_pool,35,17.640515584537958,0.05269345015335382,0.1046423724698642
equal_pool,45,11.414062145444642,0.5698812079634551,0.1687108217120918
equal_pool,55,10.767793710616507,0.5703071242139732,0.17185833555305174
equal_pool,65,11.313381393206136,0.5583377817883795,0.1693852668888054
equal_pool,75,11.11314853552089,0.5104842332879993,0.17247088645380637
oracle,5,17.75871413208536,0.0,0.10091613631986136
oracle,15,17.71072476176268,0.0,0.10285110458610229
oracle,25,17.763666429453416,0.0,0.10314257358103401
oracle,35,17.662553226317428,0.0,0.10322475262247237
oracle,45,11.86562560710741,0.0,0.16407184698523386
oracle,55,11.350522763846943,0.0,0.16827850989484583
oracle,65,11.609596859814108,0.0,0.1665645173950604
oracle,75,11.557864135047284,0.0,0.16611221873042653
premium,5,8.014053677859032,9.603725559976153,0.06605154920634922
premium,15,8.19585524389168,9.649887545579375,0.059472777116402115
premium,25,8.120204544794163,9.702761630581183,0.06218352791005291
premium,35,7.932840284584464,9.646326437131801,0.06756014034391535
premium,45,7.313015057081153,3.872834630321253,0.08904180939153439
premium,55,7.480614013476746,3.925881319869853,0.08465891137566138
premium,65,7.161462004785441,3.906563559945906,0.09285882764550264
premium,75,7.428633710287566,3.9161345610386094,0.08356781044973545
random,5,6.945766637659511,11.030719571690845,0.25
random,15,7.107227542780593,11.061295997247782,0.25
random,25,7.387052458271061,11.115049938577789,0.25
random,35,6.996556530785166,11.023841200002675,0.25
random,45,6.207097721221378,5.511407463794867,0.25
random,55,6.265639447191212,5.565042572293314,0.25
random,65,6.2663690332253985,5.559366817351855,0.25
random,75,6.437933432645265,5.616087202805295,0.25
reputation_market,5,6.771179668415203,11.569669493163333,0.2258569314592469
reputation_market,15,7.568487823098341,10.244117623585279,0.2118999278576062
reputation_market,25,7.86449509478743,10.07122671745681,0.20464079838976346
reputation_market,35,8.076492104083734,9.946505815395321,0.20295015752242132
reputation_market,45,6.987376881083918,4.641950157446615,0.24572607223687826
reputation_market,55,7.139240839238836,4.646085264387129,0.23494502937393483
reputation_market,65,7.21532438376524,4.580786102119243,0.22936012917414828
reputation_market,75,7.302093774445766,4.457213520261967,0.2234110805791105
static_router,5,17.75871413208536,0.0,0.10091613631986136
static_router,15,17.71072476176268,0.0,0.10285110458610229
static_router,25,17.763666429453416,0.0,0.10314257358103401
static_router,35,17.662553226317428,0.0,0.10322475262247237
static_router,45,7.922188271587254,3.887342735376487,0.2606271140765724
static_router,55,7.822880225988949,3.8855443483147147,0.26237704932508277
static_router,65,8.073678021143408,3.867005213335477,0.2600895742387962
static_router,75,8.091120759280374,3.884884197682843,0.25844098808867005
