seed,episode,policy,net_value,reward,execution_cost,audit_cost,completed_projects,attempted_projects,pseudo_regret,selected_brier
0,0,random,10.884564795405506,12.819064795405506,1.9345000000000003,0.0,4,7,10.326083849306551,0.25
0,1,random,7.744473377185215,9.415473377185215,1.6710000000000003,0.0,3,8,11.401264973419849,0.25
0,2,random,5.137335785668037,6.950835785668037,1.8135000000000006,0.0,2,6,12.043651995272223,0.25
0,3,random,5.536230159534718,6.764230159534717,1.228,0.0,2,6,10.613945715474674,0.25
0,4,random,1.5094936819149247,2.974493681914925,1.465,0.0,1,8,11.95770383876682,0.25
0,5,random,5.314374702497154,6.901624702497154,1.5872500000000003,0.0,2,7,11.754712502437126,0.25
0,6,random,2.9086451572840746,3.6841451572840747,0.7755000000000002,0.0,1,7,11.891407081366083,0.25
0,7,random,4.482854344997979,6.22885434499798,1.7460000000000002,0.0,2,7,9.934199152986343,0.25
0,8,random,9.776823105096234,11.646573105096236,1.8697500000000007,0.0,4,8,9.355665887293803,0.25
0,9,random,15.199757603858247,17.146507603858247,1.9467500000000004,0.0,5,7,7.892904701575363,0.25
0,10,random,8.322688343453581,9.820938343453582,1.4982500000000005,0.0,3,8,10.991290913761677,0.25
0,11,random,8.19477396059658,10.10077396059658,1.906,0.0,3,6,10.216031322659727,0.25
0,12,random,-1.07125,0.0,1.07125,0.0,0,7,12.531616191858692,0.25
0,13,random,7.958775759191051,9.380775759191051,1.4220000000000004,0.0,3,8,11.776149082155294,0.25
0,14,random,15.958276659691192,17.920026659691192,1.9617500000000005,0.0,5,8,10.024289326864444,0.25
0,15,random,10.027761522494753,11.471011522494754,1.4432500000000004,0.0,3,8,10.300422012981379,0.25
0,16,random,11.532576117202385,13.279576117202385,1.7470000000000003,0.0,4,7,11.778359566710169,0.25
0,17,random,1.9483045131287609,3.5510545131287614,1.6027500000000006,0.0,1,7,11.343828801930014,0.25
0,18,random,-1.42425,0.0,1.42425,0.0,0,7,11.919297485426164,0.25
0,19,random,9.00632192765393,10.63807192765393,1.6317500000000003,0.0,3,7,11.017405515634456,0.25
0,20,random,12.149873292170343,13.830873292170343,1.6810000000000005,0.0,4,8,10.342464521108598,0.25
0,21,random,1.3587678545712656,3.027017854571266,1.6682500000000005,0.0,1,6,11.079944711630251,0.25
0,22,random,2.3615830188770053,3.3005830188770053,0.9390000000000003,0.0,1,7,11.762853883844084,0.25
0,23,random,2.4085919300844645,3.6855919300844646,1.2770000000000001,0.0,1,8,10.67456178715081,0.25
0,24,random,5.062428481160904,6.557678481160904,1.4952500000000006,0.0,2,8,11.605265257559108,0.25
0,25,random,9.408372483157363,11.109622483157363,1.7012500000000002,0.0,3,6,10.31816345691423,0.25
0,26,random,5.262062352245897,6.624062352245897,1.362,0.0,2,7,12.584834598610891,0.25
0,27,random,5.829329856294753,7.145579856294753,1.3162500000000001,0.0,2,7,10.94937426031143,0.25
