mechanism,strategy,payoff_per_opportunity,payoff_ci95,selection_rate
separated_audit,truthful,0.7910868417552583,0.00022741641706081268,1.0
separated_audit,inflated,0.7610190440740475,0.0003497408872262196,1.0
coupled,truthful,0.4757441398280892,0.0007297657594748784,0.43082560000000003
coupled,inflated,0.7412934401652973,0.0006589439801346049,0.707704
