arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.005|pool=exponential,150,10,0.144046696,0.12413464,0.16385661733333334,0.020953304,0.66,0
cheapest|r=0|pool=exponential,150,10,0.09064914666666665,0.07230170133333333,0.109003352,0.00101752,0.36666666666666664,0
coupled|r=0|pool=exponential,150,10,0.13581634266666667,0.11739118,0.15524237866666668,0.019183657333333333,0.62,0
equal|r=0|pool=exponential,150,10,0.144110896,0.124202112,0.16389193066666669,0.020889104,0.66,0
explore|r=0|pool=exponential,150,10,0.12162689066666668,0.10718598133333332,0.13536006,0.005039776,0.5066666666666667,0
myopic|r=0.005|pool=exponential,150,10,0.144046696,0.12413464,0.16385661733333334,0.020953304,0.66,0
premium|r=0|pool=exponential,150,10,0.15509506666666667,0.13522606666666664,0.17485918666666667,0.009904933333333334,0.66,0
selected|r=0|pool=exponential,150,10,0.144110896,0.124202112,0.16389193066666669,0.020889104,0.66,0
static|r=0|pool=exponential,150,10,0.15509506666666667,0.13522606666666664,0.17485918666666667,0.009904933333333334,0.66,0
