owners,fraction,mechanism,side,slope,offset,heldout_gain,principal_value_change
"[0, 2]",0.5,coupled_audit,1,2,-0.3,1.3176066655333334,-0.03230450666666667
"[0, 2]",0.5,coupled_audit,4,1.5,0,4.130144166194482,-0.032212784
"[0, 2]",0.5,separated_audit,0,0.5,0.1,0.0001959002833666627,-0.00028048999999999967
"[0, 2]",0.5,separated_audit,0.25,2,-0.3,0.15927333219999995,-0.03230450666666667
"[0, 2]",0.5,separated_audit,1,2,-0.3,0.8542733322,-0.03230450666666667
"[0, 2]",0.5,separated_audit,4,1.5,0,3.660144166194481,-0.032212784
"[0, 3]",0.5,coupled_winner,0,1,0.3,0.29119,0.011397026666666667
"[0, 3]",0.5,coupled_winner,0.25,1,0.3,0.3645233333333333,0.011397026666666667
"[0, 3]",0.5,coupled_winner,1,1,0.4,0.5858406666666667,0.00969182
"[0, 3]",0.5,coupled_winner,4,1,0.4,1.4858406666666668,0.00969182
"[0, 3]",0.5,coupled_audit,0,1,0.2,0.05275999999999995,0.007631433333333334
"[0, 3]",0.5,coupled_audit,0.25,1,0.3,0.11055666666666665,0.011397026666666667
"[0, 3]",0.5,coupled_audit,1,1,0.3,0.3305566666666666,0.011397026666666667
"[0, 3]",0.5,coupled_audit,4,1,0.4,1.1911366666666665,0.00969182
"[0, 3]",0.5,separated_audit,0,1,-0.1,0.0002866666666666691,-0.01858934
"[0, 3]",0.5,separated_audit,0.25,1,0.2,-0.003906666666666707,0.007631433333333334
"[0, 3]",0.5,separated_audit,1,1,0.3,0.18388999999999997,0.011397026666666667
"[0, 3]",0.5,separated_audit,4,1,0.4,1.0411366666666666,0.00969182
"[1, 2]",0.5,coupled_winner,0,1.5,0,0.6403997168351853,-0.041918239999999996
"[1, 2]",0.5,coupled_winner,0.25,1.5,0,0.8153997168351852,-0.041918239999999996
"[1, 2]",0.5,coupled_winner,1,1.5,0,1.340399716835185,-0.041918239999999996
"[1, 2]",0.5,coupled_winner,4,1.5,0,3.440399716835185,-0.041918239999999996
"[1, 2]",0.5,coupled_audit,0,1,0.2,0.20468053333337785,-0.03602698666666667
"[1, 2]",0.5,coupled_audit,0.25,2,-0.3,0.3936683322,-0.04195102666666666
"[1, 2]",0.5,coupled_audit,1,2,-0.3,0.9136683322000001,-0.04195102666666666
"[1, 2]",0.5,coupled_audit,4,1.5,0,3.0054059161944817,-0.041918239999999996
"[1, 2]",0.5,separated_audit,0,0.5,0,-0.0025453163833110653,0.00969182
"[1, 2]",0.5,separated_audit,0.25,1.5,-0.3,0.05864021619438156,-0.011006853333333334
"[1, 2]",0.5,separated_audit,1,2,-0.3,0.5670016655333334,-0.04195102666666666
"[1, 2]",0.5,separated_audit,4,1.5,0,2.6554059161944816,-0.041918239999999996
"[1, 3]",0.5,coupled_winner,0,0.5,0.4,0.03898049999999995,-0.009014016666666666
"[1, 3]",0.5,coupled_winner,0.25,0.5,0.4,0.0523138333333333,-0.009014016666666666
"[1, 3]",0.5,coupled_winner,1,0.5,0.4,0.09231383333333332,-0.009014016666666666
"[1, 3]",0.5,coupled_winner,4,0.5,0.4,0.25231383333333324,-0.009014016666666666
"[1, 3]",0.5,coupled_audit,0,0.5,0.3,0.01792450000000003,-0.00871951
"[1, 3]",0.5,coupled_audit,0.25,0.5,0.3,0.024591166666666702,-0.00871951
"[1, 3]",0.5,coupled_audit,1,0.5,0.4,0.05641116666666663,-0.009014016666666666
"[1, 3]",0.5,coupled_audit,4,0.5,0.4,0.21641116666666657,-0.009014016666666666
"[1, 3]",0.5,separated_audit,0,1,-0.2,0.002756000000000033,-0.015176553333333336
"[1, 3]",0.5,separated_audit,0.25,1,-0.1,-0.01030666666666665,-0.0029941800000000004
"[1, 3]",0.5,separated_audit,1,0.5,0.4,0.029744499999999997,-0.009014016666666666
"[1, 3]",0.5,separated_audit,4,0.5,0.4,0.1897444999999999,-0.009014016666666666
"[2, 3]",0.5,coupled_winner,0,1,0.2,0.25098837037037036,0.00486668
"[2, 3]",0.5,coupled_winner,0.25,1,0.2,0.31265503703703706,0.00486668
"[2, 3]",0.5,coupled_winner,1,1,0.2,0.4976550370370371,0.00486668
"[2, 3]",0.5,coupled_winner,4,1,0.2,1.2376550370370372,0.00486668
"[2, 3]",0.5,coupled_audit,0,1,0.2,0.06606720000004443,0.00486668
"[2, 3]",0.5,coupled_audit,0.25,1,0.2,0.1277338666667111,0.00486668
"[2, 3]",0.5,coupled_audit,1,1,0.2,0.3127338666667111,0.00486668
"[2, 3]",0.5,coupled_audit,4,1,0.2,1.0527338666667112,0.00486668
"[2, 3]",0.5,separated_audit,0,1,-0.1,-0.0013669333333555785,-0.021009344000000003
"[2, 3]",0.5,separated_audit,0.25,1,0,0.0,0.0
"[2, 3]",0.5,separated_audit,1,1,0.2,0.18940053333337778,0.00486668
"[2, 3]",0.5,separated_audit,4,1,0.2,0.9294005333333778,0.00486668
