arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.005|pool=exponential,2400,30,0.15906041666666665,0.15458333333333332,0.16362291666666665,0.03885625,0.7916666666666666,0
calms|r=0.01|pool=exponential,2400,30,0.15731041666666667,0.15237916666666665,0.16225833333333334,0.03758541666666667,0.7795833333333333,0
calms|r=0.02|pool=exponential,2400,30,0.15215416666666667,0.144975,0.15849791666666666,0.0370125,0.7566666666666667,0
calms|r=0.05|pool=exponential,2400,30,0.14357708333333333,0.13723958333333333,0.14994791666666665,0.03861041666666667,0.72875,0
calms|r=0.1|pool=exponential,2400,30,0.1379125,0.13088958333333334,0.14427708333333333,0.04354583333333333,0.7258333333333333,0
calms|r=0|pool=exponential,2400,30,0.16554166666666664,0.16199999999999998,0.16897916666666665,0.043000000000000003,0.8341666666666666,0
cheapest|r=0|pool=exponential,2400,30,0.13979166666666665,0.1346875,0.14447916666666666,0.015,0.6191666666666666,0
coupled|r=0|pool=exponential,2400,30,0.16130208333333332,0.156625,0.1661375,0.055364583333333335,0.8666666666666667,0
equal|r=0|pool=exponential,2400,30,0.16554166666666664,0.16199999999999998,0.16897916666666665,0.043000000000000003,0.8341666666666666,0
explore|r=0|pool=exponential,2400,30,0.15906041666666665,0.15330833333333332,0.1640708333333333,0.023960416666666668,0.7320833333333333,0
myopic|r=0.005|pool=exponential,2400,30,0.15906041666666665,0.15458333333333332,0.16362291666666665,0.03885625,0.7916666666666666,0
myopic|r=0.01|pool=exponential,2400,30,0.15731041666666667,0.15237916666666665,0.16225833333333334,0.03758541666666667,0.7795833333333333,0
myopic|r=0.02|pool=exponential,2400,30,0.15215416666666667,0.144975,0.15849791666666666,0.0370125,0.7566666666666667,0
myopic|r=0.05|pool=exponential,2400,30,0.14357708333333333,0.13723958333333333,0.14994791666666665,0.03861041666666667,0.72875,0
myopic|r=0.1|pool=exponential,2400,30,0.1379125,0.13088958333333334,0.14427708333333333,0.04354583333333333,0.7258333333333333,0
myopic|r=0|pool=exponential,2400,30,0.16554166666666664,0.16199999999999998,0.16897916666666665,0.043000000000000003,0.8341666666666666,0
premium|r=0|pool=exponential,2400,30,0.15916666666666665,0.1564583333333333,0.1617708333333333,0.07,0.9166666666666666,0
selected|r=0|pool=exponential,2400,30,0.16291666666666668,0.15848125,0.16743541666666667,0.04895833333333334,0.8475,0
static|r=0|pool=exponential,2400,30,0.16854166666666665,0.16499999999999998,0.17197916666666666,0.04,0.8341666666666666,0
