arm,reference,paired_units,difference,ci95_low,ci95_high
calms|r=0.005|pool=exponential,static|r=0|pool=exponential,10,-0.004313738999999994,-0.009288476999999986,0.0008273180000000046
cheapest|r=0|pool=exponential,static|r=0|pool=exponential,10,0.0024160100000000045,-0.001381813999999998,0.006253380000000008
coupled|r=0|pool=exponential,static|r=0|pool=exponential,10,-0.004283340999999996,-0.00926437699999999,0.0008512080000000033
equal|r=0|pool=exponential,static|r=0|pool=exponential,10,-0.004283340999999996,-0.00926437699999999,0.0008512080000000033
explore|r=0|pool=exponential,static|r=0|pool=exponential,10,0.0008197380000000004,-0.004142356999999997,0.005855413000000009
myopic|r=0.005|pool=exponential,static|r=0|pool=exponential,10,-0.004313738999999994,-0.009288476999999986,0.0008273180000000046
premium|r=0|pool=exponential,static|r=0|pool=exponential,10,-0.0021014340000000075,-0.007063492000000007,0.003026965999999992
selected|r=0|pool=exponential,static|r=0|pool=exponential,10,-0.004283340999999996,-0.00926437699999999,0.0008512080000000033
