policy,reference,difference,ci97_5_low,ci97_5_high,streams
calms,static,-0.004313738999999994,-0.010356045999999994,0.0018193319999999986,10
calms,equal,-3.039799999999815e-05,-5.646399999999219e-05,-7.665999999997841e-06,10
