arm,rows,independent_units,net_value,ci95_low,ci95_high,mean_cost,success_rate,budget_violations
calms|r=0.02|pool=default,24,3,0.04318310833333333,0.005672924999999999,0.086089225,0.02973355833333333,0.2916666666666667,0
equal|r=0.02|pool=default,24,3,0.056497374999999996,0.039893375,0.0648167,0.026835958333333337,0.3333333333333333,0
explore|r=0.02|pool=default,24,3,0.046189966666666665,0.027620775,0.08241375000000001,0.005893366666666667,0.20833333333333334,0
selected|r=0.02|pool=default,24,3,0.045985983333333334,0.01428215,0.062135325,0.026930683333333334,0.2916666666666667,0
static|r=0.02|pool=default,24,3,0.08162553333333333,0.07926330000000001,0.08382285,0.012124466666666667,0.375,0
