policy,tasks,success,net_value,cost,audits,budget_violations
cheapest,19,0.0,-0.004890842105263159,0.004890842105263159,0,0
premium,19,0.2631578947368421,0.19939231578947367,0.06376557894736842,0,0
static,19,0.2631578947368421,0.19939231578947367,0.06376557894736842,0,0
explore,19,0.10526315789473684,0.07064072631578948,0.03462243157894737,0,0
equal,19,0.0,-0.010427652631578948,0.010427652631578948,0,0
selected,19,0.0,-0.010427652631578948,0.010427652631578948,0,0
calms,19,0.0,-0.010427652631578948,0.010427652631578948,0,0
