ridge,alpha,net_value
1,0,0.18309393333333332
1,0.05,0.18309393333333332
1,0.2,0.18309393333333332
1,0.5,0.18309393333333332
1,1,0.17491563333333332
10,0,0.18309393333333332
10,0.05,0.18309393333333332
10,0.2,0.18309393333333332
10,0.5,0.18309393333333332
10,1,0.18309393333333332
